"respondente_id","categoria","item","ano_pesquisa"
"8jelyxslpidg0y5nyh8jelyxsxfy635y","criterio_escolha","Remuneração/Salário","2023"
"8jelyxslpidg0y5nyh8jelyxsxfy635y","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"8jelyxslpidg0y5nyh8jelyxsxfy635y","criterio_escolha","Plano de carreira","2023"
"4s9zcpz6wlky04s92pf6wxbq5z9zivqo","criterio_escolha","Remuneração/Salário","2023"
"4s9zcpz6wlky04s92pf6wxbq5z9zivqo","criterio_escolha","Benefícios","2023"
"4s9zcpz6wlky04s92pf6wxbq5z9zivqo","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"lr6ggg01ow6r9vsalr6ggc33pzqkcr20","criterio_escolha","Remuneração/Salário","2023"
"lr6ggg01ow6r9vsalr6ggc33pzqkcr20","criterio_escolha","Maturidade em tecnologia/dados","2023"
"lr6ggg01ow6r9vsalr6ggc33pzqkcr20","criterio_escolha","Reputação no mercado","2023"
"p5ijkish12r7qi2ug32oz3vp5ijkish1","criterio_escolha","Remuneração/Salário","2023"
"p5ijkish12r7qi2ug32oz3vp5ijkish1","criterio_escolha","Propósito do trabalho/empresa","2023"
"p5ijkish12r7qi2ug32oz3vp5ijkish1","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"thzt8wzc46tdk4wgmthzt8xezc0dbvgk","criterio_escolha","Plano de carreira","2023"
"simqrgqdbred9lau5jusimqrm7jz5mke","criterio_escolha","Remuneração/Salário","2023"
"simqrgqdbred9lau5jusimqrm7jz5mke","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"simqrgqdbred9lau5jusimqrm7jz5mke","criterio_escolha","Ambiente e clima de trabalho","2023"
"t2hxmhpt2m82m9gdkt2hx8282ldqx7yx","criterio_escolha","Remuneração/Salário","2023"
"t2hxmhpt2m82m9gdkt2hx8282ldqx7yx","criterio_escolha","Plano de carreira","2023"
"t2hxmhpt2m82m9gdkt2hx8282ldqx7yx","criterio_escolha","Maturidade em tecnologia/dados","2023"
"lihxbi7xdywevxom48mkxlihxbrlk5gj","criterio_escolha","Remuneração/Salário","2023"
"lihxbi7xdywevxom48mkxlihxbrlk5gj","criterio_escolha","Aprendizado/referências na área","2023"
"lihxbi7xdywevxom48mkxlihxbrlk5gj","criterio_escolha","Plano de carreira","2023"
"995s1wni14aqhbfpgy80995s1wnduxqs","criterio_escolha","Remuneração/Salário","2023"
"txhjplzlyrpsjsi82txhjtvszsz8zypz","criterio_escolha","Remuneração/Salário","2023"
"txhjplzlyrpsjsi82txhjtvszsz8zypz","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"txhjplzlyrpsjsi82txhjtvszsz8zypz","criterio_escolha","Aprendizado/referências na área","2023"
"0rvvo787yq3mthe5ga0rvvh4rbm4u4gc","criterio_escolha","Remuneração/Salário","2023"
